ImageId,x,y,z
ID_5d4ab3dd2,1.72726,33.8206,202.957
ID_807337723,14.6362,33.8053,192.286
ID_4e758566d,39.9736,33.7971,182.378
ID_7d97e26ae,-9.13087,33.78,181.051
ID_7d0ab7438,16.2218,33.7524,204.998
ID_b8e105ca2,16.1804,33.7039,218.926
ID_956fa5a43,-11.2553,33.6332,213.517
ID_f1fcf51f5,-5.01398,33.6271,212.407
ID_0b6d81cce,-37.091,33.5687,212.431
ID_b1008ef7c,-6.50031,33.5009,194.025
ID_ad50e86d0,-2.34275,33.4883,200.43
ID_f865e2a0d,-1.73323,33.4853,195.633
ID_704e13e8c,0.207996,33.4719,199.994
ID_a97d9b416,-38.8207,33.4605,208.846
ID_5d9a9a830,-2.13143,33.4591,200.907
ID_e5d1c1ebb,2.89502,33.3825,192.029
ID_c1edc9dea,2.3741,33.3318,204.217
ID_bb333df1b,-1.65644,33.2899,190.156
ID_5d9a9a830,-10.4886,33.2393,200.795
ID_729a8ef7b,-2.62308,33.2272,196.32
ID_7d9239a52,-2.5388,33.163,189.456
ID_0f7c7228a,10.6781,33.1146,185.176
ID_ba0a13999,-9.51456,33.1077,206.658
ID_9e2174dfe,-11.5865,33.0019,206.091
ID_7ec29eaad,2.51998,33.0017,191.064
ID_7ec29eaad,73.3854,32.9931,105.873
ID_ba5963dd1,1.77877,32.9492,196.497
ID_666ed008e,-5.65192,32.9437,207.162
ID_1a4107469,2.11712,32.9407,193.503
ID_441886a76,-20.7489,32.8991,230.789
ID_501da7aca,-38.7397,32.8842,198.02
ID_e67437f6e,-9.93688,32.8702,185.538
ID_23f4a113e,-23.5291,32.8275,203.589
ID_0400854c6,-32.0118,32.7155,200.591
ID_2e9d7873d,-21.4993,32.7145,194.393
ID_0400854c6,1.36777,32.6944,193.461
ID_441886a76,-20.9103,32.6545,208.561
ID_441886a76,-20.9921,32.6479,206.638
ID_a9d36e8db,-3.89992,32.6405,200.541
ID_7e321c4e5,96.1395,32.5867,158.864
ID_f1fcf51f5,-29.4989,32.5764,211.937
ID_07375a6d5,-5.43074,32.5601,194.963
ID_ec0e083f4,2.19293,32.4656,187.874
ID_937edca6c,22.3987,32.4128,196.597
ID_3e29faeb0,-31.0672,32.4054,188.492
ID_d44bbe32c,20.7688,32.3996,192.157
ID_b266869b4,-82.8505,32.3764,194.059
ID_24418b6a6,26.7358,32.3635,190.484
ID_d6331ccf9,-1.26634,32.3365,195.191
ID_68db82c42,-17.9504,32.3124,229.345
ID_605cf1d46,-26.4985,32.3026,200.701
ID_c7d63e9d3,4.0668,32.2723,199.501
ID_e05bd3172,-5.80478,32.2687,191.608
ID_324d92b99,32.2519,32.252,178.231
ID_9cd22db32,-24.5666,32.2311,199.123
ID_4314cce16,-4.17128,32.225,179.444
ID_fee391a62,-1.18839,32.1944,183.192
ID_91dae45bc,3.24209,32.0899,189.151
ID_d2a3f748f,-10.4282,32.0895,210.76
ID_181adab76,-7.42308,32.0711,191.616
ID_c1edc9dea,-10.6809,32.0346,199.65
ID_9ea507b62,-3.10723,32.0294,192.14
ID_5f8f50a1b,-21.9089,31.9914,199.241
ID_424d8de4b,-9.58092,31.9724,188.43
ID_95276c148,-12.9733,31.9552,196.867
ID_240e204c5,54.4604,31.889,180.962
ID_44e4eb246,3.15347,31.8536,185.135
ID_b745d0bf8,-5.21808,31.8118,188.876
ID_d25e0d5ab,29.0074,31.8085,175.833
ID_c754c08ad,1.4388,31.7789,190.099
ID_001a12fb2,3.8249,31.7701,168.57
ID_f32a96913,-0.92828,31.764,194.051
ID_83cff8701,-5.14811,31.7466,209.153
ID_82d727486,-4.2578,31.742,169.087
ID_6a8c65399,-2.94131,31.7012,159.271
ID_12104686a,-2.82751,31.6737,193.752
ID_d1e61e771,-1.16752,31.6003,185.663
ID_d54fc9d86,-2.31815,31.5596,175.126
ID_612e8cd9a,11.6352,31.4189,180.242
ID_4314cce16,6.64756,31.3977,166.19
ID_e67437f6e,-76.7639,31.3718,187.859
ID_b6c16c7fb,-0.134933,31.3366,186.035
ID_e58264b7f,-2.4574,31.2901,167.562
ID_441886a76,-22.8729,31.268,208.535
ID_d6390f085,-4.05781,31.1704,177.932
ID_b42125d61,5.03882,31.1624,186.643
ID_a2a4dad88,-3.37942,31.1377,183.574
ID_e67437f6e,-34.9204,31.0847,184.657
ID_657eb589c,-1.13583,31.0822,180.682
ID_b4b15b8f9,-1.35442,31.0358,201.751
ID_d30bd5337,-59.0223,31.0271,226.743
ID_b69ce0b4c,-62.4679,31.0044,193.612
ID_48b974f73,-10.3726,30.9934,181.441
ID_c3e6c3231,1.63038,30.9664,183.511
ID_0ddda042d,8.17152,30.9463,188.215
ID_b5ebe839b,-0.0630181,30.9421,177.5
ID_37be44db9,-6.62655,30.9337,185.003
ID_32289333c,-25.6566,30.8819,194.787
ID_817333c1c,0.685644,30.8568,177.796
ID_8dcb9b2e2,-27.0481,30.8391,180.696
ID_749c4d3bd,-14.0957,30.8265,186.761
ID_e67437f6e,-38.6676,30.7106,183.947
ID_b8e105ca2,5.56473,30.6982,200.921
ID_c46c05e9f,25.8062,30.6501,186.784
ID_aa645dfab,2.4584,30.6274,163.562
ID_b6c16c7fb,-0.626204,30.5903,186.151
ID_849a2ae15,5.31614,30.5871,194.149
ID_565c40c14,-1.9418,30.5745,169.534
ID_ffb67214c,8.87733,30.5611,174.579
ID_441886a76,-11.7718,30.5094,205.929
ID_a337525c3,-28.0152,30.5017,189.981
ID_1c5a74ad4,-4.52841,30.5004,198.467
ID_787485a68,9.19878,30.4672,187.272
ID_e21e6fa83,0.719662,30.4554,174.74
ID_039502422,-49.5252,30.4205,194.448
ID_df134dd43,-31.2093,30.4169,192.789
ID_d6331ccf9,-15.3399,30.3889,184.089
ID_a93677394,54.5475,30.3819,155.721
ID_3891e1ef4,-22.0846,30.3669,180.011
ID_75584dd71,-1.58538,30.3502,175.563
ID_a7f98119b,-15.0464,30.3054,185.343
ID_fce05fc08,4.46555,30.259,173.633
ID_c8d2801b8,-0.433246,30.2535,192.494
ID_243ea86e6,-75.2487,30.2239,124.479
ID_901fa9e6c,66.9734,30.2234,160.925
ID_bdd08f0f8,-1.2053,30.2073,183.823
ID_f64511e66,-0.702925,30.2071,180.379
ID_90d3e0e80,0.169343,30.1976,178.817
ID_5bf8b511d,-10.8897,30.1859,178.631
ID_fa2998277,9.23919,30.1748,179.104
ID_edc1b60d4,-25.5011,30.1524,161.576
ID_fa021e056,-13.3743,30.1188,196.861
ID_a7f98119b,-8.90368,30.0746,185.518
ID_44e4eb246,-1.37346,30.0633,176.715
ID_0b0be29be,-48.1412,30.0473,167.361
ID_c8d2801b8,-10.3887,30.0387,196.023
ID_a0d7b5db9,1.75022,30.0367,172.088
ID_6d58a0364,0.293164,30.0045,181.593
ID_7ec29eaad,6.87737,30.0029,173.667
ID_a59b55508,2.45222,29.986,172.014
ID_3e29faeb0,-7.17063,29.9743,173.188
ID_324d92b99,24.139,29.9708,172.579
ID_240e204c5,19.7688,29.9677,171.12
ID_b5ebe839b,1.64819,29.9312,168.946
ID_a4138397b,6.29698,29.9223,179.841
ID_5eb939315,-20.0923,29.8884,182.224
ID_a79f4ddf9,-1.1946,29.882,174.06
ID_96f7fd567,-10.107,29.8794,176.863
ID_6bea64f57,-14.6377,29.8767,177.859
ID_ed70adf16,5.17729,29.8695,175.522
ID_16c9192c8,-14.4073,29.8632,172.039
ID_89073c248,-16.5873,29.8622,175.136
ID_f64511e66,3.303,29.857,180.439
ID_5d9a9a830,-11.8258,29.8506,177.875
ID_cdb292aa4,5.63017,29.842,208.914
ID_72b22e72b,6.48037,29.8278,166.164
ID_b244252f5,22.8353,29.8045,177.984
ID_441886a76,-11.5411,29.7995,206.081
ID_e8842ee5d,-16.4919,29.7984,183.685
ID_616bdd8aa,-10.9742,29.7414,189.846
ID_e8243a632,-28.7137,29.728,178.96
ID_bceb075be,-11.1078,29.6959,183.372
ID_5711bfe68,-15.9673,29.6781,177.468
ID_a2fc4534b,-2.37969,29.6705,172.858
ID_5b0187737,-4.36089,29.649,174.154
ID_0b0be29be,-55.4989,29.6266,164.51
ID_be8a2ce07,47.3113,29.616,158.811
ID_d44bbe32c,23.1067,29.6155,168.794
ID_4eaa4d11d,2.24343,29.5856,168.962
ID_77eb01dff,-0.196726,29.5744,177.438
ID_5f8f50a1b,-19.0564,29.5052,183.28
ID_36cc638b0,-6.11394,29.4999,180.112
ID_9eef06273,-28.1238,29.4849,186.31
ID_324d92b99,21.2599,29.4475,169.871
ID_8ad1639d4,-20.296,29.4285,182.055
ID_d2fc3a7c4,-35.1545,29.427,180.631
ID_432d2db6f,-2.58581,29.3636,174.32
ID_c8d2801b8,-37.6591,29.3357,194.383
ID_0400854c6,-32.9925,29.3355,182.836
ID_7c4a3e0aa,-1.77201,29.327,170.282
ID_d05699e7b,-0.00724637,29.313,162.294
ID_3d7239ce6,2.823,29.3086,162.638
ID_9783bd351,7.96854,29.2769,173.443
ID_b046a2096,0.109572,29.205,174.472
ID_829a8212e,-0.189122,29.1576,172.516
ID_b4b15b8f9,-5.46107,29.1247,190.151
ID_b244252f5,18.5705,29.1069,178.13
ID_9736d2705,-17.1637,29.1062,177.106
ID_ebc1b2883,4.4279,29.0783,175.489
ID_c68b0da1a,-5.28294,29.0664,172.297
ID_8e352a589,0.491352,29.0359,162.61
ID_ba5963dd1,-1.38434,29.0135,171.086
ID_297d3bc4c,-21.6185,28.9992,189.832
ID_52b9fa299,-6.68736,28.9724,174.284
ID_dd1bd7316,-7.33255,28.9548,159.564
ID_a6ba74499,23.4713,28.9399,155.397
ID_67d4b85d9,-1.10444,28.9357,175.563
ID_b8e105ca2,2.37076,28.9166,189.65
ID_d05699e7b,-11.25,28.8844,162.016
ID_0c80df3ef,-10.8218,28.8711,166.615
ID_3bdb9f525,-8.07971,28.8645,159.342
ID_5fafab4ad,2.78327,28.8611,169.633
ID_134c5daca,8.04718,28.8597,165.833
ID_b3be748fc,2.90127,28.8579,166.321
ID_25d0ae8f9,-24.6008,28.8567,176.014
ID_a0460529d,-15.4153,28.82,177.237
ID_e429cdfe5,11.1515,28.8041,166.854
ID_920fbfaf1,-23.6258,28.7834,193.792
ID_8ab0251db,-7.93795,28.7587,171.031
ID_01021ce21,4.54959,28.7576,175.273
ID_ac9e2fdca,-53.0173,28.7524,143.519
ID_977ac6231,-21.3802,28.748,160.467
ID_441886a76,-14.1471,28.7355,197.42
ID_72475c36b,-32.8612,28.7171,195.084
ID_cfc444477,13.0257,28.7112,166.393
ID_99f8189f6,-4.77437,28.7082,193.667
ID_6ee33cb3b,-14.6253,28.7011,165.357
ID_6f67a0c55,-3.75944,28.6845,183.905
ID_5f8f50a1b,-21.9431,28.6659,179.888
ID_1ba15ba74,-11.985,28.6618,174.924
ID_df134dd43,-16.943,28.6595,175.597
ID_4ed3caa54,-1.12472,28.6318,168.287
ID_0400854c6,-6.00458,28.6235,168.219
ID_297d3bc4c,-28.1261,28.6167,194.855
ID_55af904ab,-14.3114,28.6084,170.52
ID_f1354858c,-13.4049,28.5872,172.952
ID_3a75649f5,-2.31901,28.5867,170.759
ID_e429cdfe5,-18.5621,28.5771,168.916
ID_cfc444477,18.1641,28.5576,161.122
ID_a59ad3974,1.01764,28.5436,172.533
ID_edd28a56a,6.50277,28.5363,149.932
ID_96f768490,0.0947177,28.4973,170.616
ID_94d690cbd,-21.2841,28.4638,176.856
ID_d6331ccf9,-13.5042,28.4523,174.48
ID_6679c7bef,14.5306,28.4461,162.181
ID_9e4c3af75,-28.1601,28.4445,181.685
ID_41e3d7782,-7.8412,28.444,147.677
ID_3bdb9f525,-12.9297,28.4436,159.31
ID_bdd08f0f8,16.1523,28.4277,164.83
ID_901117b49,-5.2383,28.4035,187.887
ID_090811cf5,9.82984,28.3899,179.11
ID_d617df59a,-11.4525,28.3759,173.963
ID_441886a76,1.89105,28.3597,171.619
ID_9783bd351,9.67617,28.3591,163.858
ID_27f9ecfe1,-5.11618,28.3492,161.31
ID_439db4dcc,-6.16491,28.3491,166.248
ID_fce05fc08,1.09942,28.3348,162.79
ID_9eef06273,-30.7448,28.3001,179.885
ID_196b36d28,-4.03182,28.2777,168.733
ID_b3aa79dad,-3.62078,28.2734,170.132
ID_e8b843d9f,-4.19455,28.2454,171.373
ID_9080993a4,-12.8634,28.2427,161.207
ID_4e758566d,15.18,28.2425,155.32
ID_441886a76,-15.2688,28.2424,185.112
ID_ecc31d987,4.70925,28.2331,164.216
ID_e63e99a6b,-25.9732,28.2049,198.128
ID_22e0f02a1,-12.3545,28.1886,175.687
ID_920fbfaf1,-16.0428,28.1852,193.918
ID_b63275d1b,28.5794,28.1747,161.168
ID_3bb765861,0.288269,28.1597,163.163
ID_fa14ba788,-9.07497,28.1483,152.207
ID_4e758566d,19.2502,28.1427,155.336
ID_c316009a9,-15.605,28.1421,182.059
ID_d30bd5337,-51.0017,28.1396,202.229
ID_27f9ecfe1,-2.28045,28.1285,161.482
ID_5be0a526c,-5.86748,28.1259,194.834
ID_d4b03f5be,0.277305,28.1227,167.848
ID_7739b8ae1,23.8072,28.0955,146.881
ID_8ab0251db,-5.67728,28.0811,166.345
ID_5794557cb,-6.4176,28.0784,170.31
ID_cbe20c9eb,-19.0508,28.0775,167.72
ID_b91019c7c,4.14697,28.0603,172.641
ID_cdb292aa4,-22.1202,28.0535,202.27
ID_0400854c6,-2.45346,28.0356,168.308
ID_461ecbf33,-1.97862,28.023,161.94
ID_89602d01e,-1.05439,28.0073,159.244
ID_33544ba50,0.855218,28.0035,169.268
ID_cc62c804a,-10.4852,27.9892,164.731
ID_2d2fff4cc,-47.3249,27.9694,163.436
ID_7c4368329,1.37824,27.969,164.546
ID_7344a6126,-17.7175,27.9618,173.099
ID_42633cece,16.1359,27.9462,163.721
ID_439db4dcc,-9.1275,27.938,166.217
ID_7c861e895,-28.4597,27.9031,171.728
ID_090811cf5,5.14743,27.8968,190.289
ID_1a4107469,-17.8983,27.8963,167.169
ID_441886a76,-15.8194,27.8912,172.457
ID_a9bc7f70c,-0.633158,27.8898,170.445
ID_4d794c051,-24.173,27.8893,169.938
ID_034cdfa4e,-19.8698,27.8638,169.598
ID_f1354858c,-3.78833,27.8515,167.344
ID_5116e4436,-7.51257,27.8192,153.804
ID_7f236208b,0.150095,27.8081,171.562
ID_1a4107469,-19.6876,27.8066,166.994
ID_29625d055,-39.5522,27.7944,165.235
ID_edd28a56a,4.505,27.776,146.168
ID_fa2998277,1.07129,27.7679,167.82
ID_e010cd217,27.1608,27.7496,154.558
ID_610352cfe,-6.18023,27.7445,163.18
ID_96f7fd567,-1.2822,27.7286,163.432
ID_364577e09,4.23473,27.7253,162.796
ID_b839972b5,-2.98682,27.713,156.662
ID_4e758566d,7.65623,27.7077,155.384
ID_424d8de4b,29.7707,27.6927,145.053
ID_b63275d1b,-51.8537,27.6912,173.995
ID_698df221e,-0.327568,27.6809,166.545
ID_d1d8064ff,1.45153,27.6702,155.993
ID_fa2998277,11.7633,27.6578,165.665
ID_cdb292aa4,-26.9349,27.6452,202.204
ID_5824850c8,-0.807018,27.6337,161.763
ID_88136d8d6,-0.875298,27.621,159.314
ID_392be605b,-23.9256,27.6144,149.444
ID_a3cb33e18,4.99586,27.6119,155.725
ID_166c05a91,-15.9276,27.609,157.71
ID_1999843c2,-7.14025,27.5984,155.132
ID_534ba0ac4,-14.0302,27.5798,146.892
ID_c316009a9,-19.5935,27.5727,182.139
ID_8571ea2c3,-0.553266,27.572,159.069
ID_a4a2578a3,0.715024,27.5708,162.16
ID_5689a0303,-4.7324,27.5602,168.44
ID_58c14b84d,-4.28978,27.5413,161.603
ID_176e41cdf,-2.00511,27.5365,161.884
ID_5cae823ca,35.5218,27.5364,152.045
ID_a79f4ddf9,-4.58143,27.5333,160.339
ID_6308ec184,2.92927,27.516,155.847
ID_d44bbe32c,9.40664,27.513,165.015
ID_8199e5af1,-49.1044,27.5087,126.606
ID_ad4474603,-41.3649,27.4986,162.215
ID_424d8de4b,15.746,27.489,154.524
ID_cdb292aa4,-23.3929,27.4784,202.203
ID_df134dd43,10.8224,27.4668,160.627
ID_568986799,-9.03265,27.4642,156.928
ID_cdb292aa4,-31.9505,27.4638,201.657
ID_09e072c19,0.221942,27.4584,165.478
ID_0d5dd1a58,-6.02253,27.4513,168.328
ID_7d97e26ae,4.65895,27.4468,141.298
ID_0db064a7c,7.6106,27.4373,158.196
ID_270cdea39,2.51707,27.428,163.195
ID_13b7a0676,-5.99147,27.423,169.867
ID_3676701ac,6.98456,27.4221,176.652
ID_d84f5ff4d,-10.7261,27.4041,161.411
ID_a9d36e8db,-6.55277,27.3988,164.543
ID_1e328c645,11.9229,27.3987,157.257
ID_105f25107,-47.9777,27.3796,164.827
ID_c316009a9,-24.3177,27.364,181.635
ID_eafe67422,-4.98779,27.3523,162.208
ID_e39de345c,-16.2558,27.3465,164.895
ID_834465566,-10.3165,27.3448,159.472
ID_68db82c42,-4.9514,27.3442,162.258
ID_af36349e0,-12.7694,27.3232,166.372
ID_9e71e2a10,48.7785,27.3119,155.354
ID_e8842ee5d,-6.7602,27.3112,163.861
ID_e21c7a395,-6.74654,27.2944,141.917
ID_7ec29eaad,-0.425584,27.2621,159.403
ID_e429cdfe5,-3.13304,27.2539,161.539
ID_e6cadd61a,34.9677,27.2502,148.89
ID_0d5dd1a58,-0.5914,27.2363,164.882
ID_c8a5faa7a,1.04595,27.2158,164.286
ID_4247271c0,7.50761,27.2155,156.066
ID_d2108dfe0,2.12928,27.2109,156.875
ID_3477787a2,13.4867,27.2081,150.613
ID_f79e23bf5,-9.4891,27.2024,177.217
ID_d46e19ffb,-1.98273,27.1725,158.411
ID_b9d1c59d7,9.11984,27.1639,153.624
ID_f32a96913,-9.18045,27.1402,160.286
ID_92ad9d987,-0.613435,27.1401,159.283
ID_7344dc5fe,10.0765,27.1267,152.822
ID_37dd679dc,21.0336,27.096,154.013
ID_7dcacedd5,-16.8973,27.0925,172.081
ID_83b18e5ad,7.01302,27.0909,171.22
ID_5526ee0f7,-3.77766,27.0879,171.975
ID_024fa9432,-20.2486,27.072,167.074
ID_c0d3f4329,-1.77069,27.0699,159.203
ID_a4e40eb59,-16.7345,27.0693,165.046
ID_7289e23b1,-12.2641,27.0608,172.657
ID_d2fc3a7c4,6.77762,27.0594,156.991
ID_7b8967cb0,3.26392,27.0306,153.263
ID_76427f9a0,-1.76657,27.0285,160.699
ID_c3a0c6ed9,16.1578,27.0177,159.147
ID_2117fd8d6,-2.5478,27.0177,171.567
ID_80a5afc80,-4.75659,26.9968,145.035
ID_0c6f8b911,-43.2112,26.9862,143.24
ID_e429cdfe5,-27.0051,26.9704,157.895
ID_c29465db5,14.958,26.9497,154.326
ID_6f20a8449,6.28338,26.9486,144.393
ID_2199b4c9f,-17.2562,26.9475,156.414
ID_fe312473d,1.79729,26.9437,158.059
ID_7915bd106,-0.32361,26.9421,151.968
ID_9e4c3af75,-29.5285,26.9301,172.597
ID_c227d8ef8,6.2856,26.9249,160.577
ID_a08bc7b32,-0.102526,26.9246,154.085
ID_fdbe1a8b2,-1.39146,26.9138,149.084
ID_3ca0d189e,24.4624,26.8912,141.828
ID_f7dc44c69,-9.62138,26.8494,154.759
ID_b6c16c7fb,41.2215,26.8254,143.058
ID_ac121d381,10.7224,26.8252,148.165
ID_c8d56e410,-6.37847,26.8209,163.36
ID_848c78982,-5.78942,26.7992,156.684
ID_7b81dab6e,-62.5478,26.798,160.462
ID_24f04750b,-3.35404,26.7855,154.123
ID_e54dfa981,-43.1435,26.7846,134.332
ID_fdf86a38d,-0.550019,26.7729,152.208
ID_170c95c4d,-2.18078,26.7603,153.892
ID_dc906a5d2,47.8396,26.759,137.951
ID_dfd1abfab,-29.8623,26.7484,184.505
ID_5a6def0fd,-41.0475,26.7303,182.487
ID_ad2133f1e,1.66885,26.7289,157.028
ID_8ce5f9f17,31.7713,26.7109,152.171
ID_1cfdb9514,-16.3814,26.7063,153.998
ID_94d690cbd,22.3869,26.6919,154.738
ID_d4b03f5be,12.2044,26.676,156.671
ID_befcefadb,-21.9759,26.6599,164.955
ID_ff8a431ea,-10.3777,26.6593,154.65
ID_6b8e7dbb7,-16.4911,26.6538,167.34
ID_555862f32,1.94965,26.6511,157.712
ID_5a30cd477,-16.8626,26.6501,157.712
ID_4fb9e9e05,-6.79533,26.6339,156.727
ID_35c162956,-2.61346,26.6273,160.926
ID_9e0260a92,-24.5138,26.6082,172.197
ID_8592d83bc,-10.5107,26.606,147.059
ID_53845cad9,-1.1187,26.5996,161.51
ID_2d11bdde9,-1.59177,26.5865,154.333
ID_4eab0383d,-8.01599,26.5726,153.36
ID_c316009a9,-21.662,26.5711,182.047
ID_6f3a576c2,-1.17892,26.5498,162.686
ID_46ac698e4,-56.8244,26.5488,173.511
ID_ba0a13999,-61.3265,26.526,174.133
ID_7344dc5fe,7.64191,26.5243,149.813
ID_82d727486,-9.44085,26.5046,142.935
ID_64b3ffe3d,-32.5831,26.5039,175.322
ID_6f20a8449,14.6252,26.4994,137.332
ID_5e051f8a7,9.42655,26.4839,151.915
ID_12104686a,37.115,26.4689,148.841
ID_f96922b0d,-4.52548,26.4665,153.995
ID_ec2aaca03,-10.1631,26.4626,153.033
ID_4af34c104,22.7538,26.4601,151.877
ID_8199e5af1,-11.4063,26.4577,158.38
ID_bdd08f0f8,6.30662,26.428,155.419
ID_261beec5f,-3.51657,26.4174,161.382
ID_a3cb33e18,1.28043,26.4046,151.289
ID_ebdcbb52d,4.27897,26.3994,164.104
ID_c8d2801b8,-50.4341,26.3993,171.791
ID_94d690cbd,22.9327,26.3672,152.193
ID_be9277890,-34.7509,26.3563,156.131
ID_616d584f8,-13.395,26.3508,153.54
ID_4dc37122f,1.72932,26.3401,163.972
ID_b140325c6,-15.5187,26.3334,152.619
ID_532d6ab62,-7.79297,26.3302,157.322
ID_58c14b84d,2.47963,26.3295,152.955
ID_327979358,-3.41485,26.3282,156.515
ID_a6983c284,-7.28985,26.3156,156.284
ID_872c092d0,2.61592,26.2794,143.004
